"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-419037","R-MMU-419037","NCAM1 interactions","2/14","19/8731",0.105263157894737,65.6466165413534,11.3044980589692,0.000401995619562044,0.0178713408430228,0.00969099822428666,"Col6a5/Col6a6",2
"R-MMU-2168880","R-MMU-2168880","Scavenging of heme from plasma","2/14","22/8731",0.0909090909090909,56.6948051948052,10.4816463144436,0.000541555783121902,0.0178713408430228,0.00969099822428666,"Hbb-bs/Jchain",2
"R-MMU-375165","R-MMU-375165","NCAM signaling for neurite out-growth","2/14","34/8731",0.0588235294117647,36.6848739495798,8.35461626611082,0.00130082592412559,0.0218006710500819,0.0118217354976521,"Col6a5/Col6a6",2
"R-MMU-2173782","R-MMU-2173782","Binding and Uptake of Ligands by Scavenger Receptors","2/14","35/8731",0.0571428571428571,35.6367346938775,8.22808588834137,0.00137840061470531,0.0218006710500819,0.0118217354976521,"Hbb-bs/Jchain",2
"R-MMU-8948216","R-MMU-8948216","Collagen chain trimerization","2/14","39/8731",0.0512820512820513,31.981684981685,7.77078861392379,0.00171035201257575,0.0218006710500819,0.0118217354976521,"Col6a5/Col6a6",2
"R-MMU-3000178","R-MMU-3000178","ECM proteoglycans","2/14","42/8731",0.0476190476190476,29.6972789115646,7.47081671825247,0.00198187918637108,0.0218006710500819,0.0118217354976521,"Col6a5/Col6a6",2
"R-MMU-2022090","R-MMU-2022090","Assembly of collagen fibrils and other multimeric structures","2/14","46/8731",0.0434782608695652,27.1149068322981,7.11655978159491,0.00237368738025387,0.0223804810138222,0.0121361460043055,"Col6a5/Col6a6",2
"R-MMU-1442490","R-MMU-1442490","Collagen degradation","2/14","50/8731",0.04,24.9457142857143,6.80480269017647,0.00279916567221739,0.0230276858998645,0.0124871024018404,"Col6a5/Col6a6",2
"R-MMU-186797","R-MMU-186797","Signaling by PDGF","2/14","53/8731",0.0377358490566038,23.533692722372,6.59398714921222,0.00314013898634516,0.0230276858998645,0.0124871024018404,"Col6a5/Col6a6",2
"R-MMU-1650814","R-MMU-1650814","Collagen biosynthesis and modifying enzymes","2/14","56/8731",0.0357142857142857,22.2729591836735,6.39992368435649,0.00349967427668657,0.0230978502261313,0.0125251500428782,"Col6a5/Col6a6",2
"R-MMU-216083","R-MMU-216083","Integrin cell surface interactions","2/14","69/8731",0.0289855072463768,18.0766045548654,5.70695691584904,0.00526826546249445,0.0298003987353295,0.0161597058532887,"Col6a5/Col6a6",2
"R-MMU-1474290","R-MMU-1474290","Collagen formation","2/14","70/8731",0.0285714285714286,17.8183673469388,5.66156439689744,0.00541825431551445,0.0298003987353295,0.0161597058532887,"Col6a5/Col6a6",2
"R-MMU-422475","R-MMU-422475","Axon guidance","3/14","246/8731",0.0121951219512195,7.60540069686411,4.21141863839132,0.00638893640959697,0.0304605929338949,0.0165177058971679,"Ank1/Col6a5/Col6a6",3
"R-MMU-9675108","R-MMU-9675108","Nervous system development","3/14","247/8731",0.0121457489878543,7.57460960092539,4.2005458839229,0.00646133789506861,0.0304605929338949,0.0165177058971679,"Ank1/Col6a5/Col6a6",3
